id (serial),statement (text),is_true (boolean),explanation,category 
,感染单纯疱疹（HSV-1 和 HSV-2）也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有人乳头瘤病毒（HPV）。,FALSE,很多感染人乳头瘤病毒（HPV）的人完全没有症状。,症状
,人乳头瘤病毒（HPV）总会引起疼痛或明显的溃疡。,FALSE,人乳头瘤病毒（HPV）有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有人乳头瘤病毒（HPV）。,FALSE,人乳头瘤病毒（HPV）即使没有明显症状也可能存在。,症状
,只有女性会出现人乳头瘤病毒（HPV）的症状。,FALSE,无论男女都可能感染人乳头瘤病毒（HPV），不论是否出现症状。,症状
,人乳头瘤病毒（HPV）的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的人乳头瘤病毒（HPV）仍可能存在并引发并发症。,症状
,人乳头瘤病毒（HPV）不会带来任何长期健康问题。,FALSE,人乳头瘤病毒（HPV）若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，人乳头瘤病毒（HPV）不会。,FALSE,包括人乳头瘤病毒（HPV）在内的许多性病都会影响男女的生育能力。,健康影响
,人乳头瘤病毒（HPV）会自己消失，不会造成伤害。,FALSE,未经治疗的人乳头瘤病毒（HPV）会持续存在并导致严重健康问题。,健康影响
,人乳头瘤病毒（HPV）只会影响私密部位。,FALSE,人乳头瘤病毒（HPV）不只影响生殖器，还会波及身体其他部位。,健康影响
,与人乳头瘤病毒（HPV）相关的健康问题只会发生在女性身上。,FALSE,人乳头瘤病毒（HPV）会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染人乳头瘤病毒（HPV）。,FALSE,人乳头瘤病毒（HPV）可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染人乳头瘤病毒（HPV）。,FALSE,人乳头瘤病毒（HPV）可通过多种性接触传播。,传播途径
,人乳头瘤病毒（HPV）可以通过马桶座传播。,FALSE,人乳头瘤病毒（HPV）不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防人乳头瘤病毒（HPV）。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染人乳头瘤病毒（HPV）。,FALSE,即使没有明显症状，也可能传播人乳头瘤病毒（HPV）。,传播途径
,事后清洗就能预防人乳头瘤病毒（HPV）。,FALSE,清洁并不能预防人乳头瘤病毒（HPV），关键是做好防护和检测。,预防
,口服避孕药能够预防人乳头瘤病毒（HPV）。,FALSE,避孕措施只能防怀孕，无法阻止人乳头瘤病毒（HPV）等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染人乳头瘤病毒（HPV）。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现人乳头瘤病毒（HPV），即使没有症状。,预防
,只有性伴侣多的人才需要担心人乳头瘤病毒（HPV）。,FALSE,只要有性行为，就可能感染人乳头瘤病毒（HPV），并非只有多性伴的人会得。,预防
,抗生素可以治愈包括人乳头瘤病毒（HPV）在内的所有性病。,FALSE,某些性病（如人乳头瘤病毒（HPV））是病毒感染，抗生素无法治愈。,治疗
,治疗过人乳头瘤病毒（HPV）之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染人乳头瘤病毒（HPV）。,治疗
,用偏方或草药就能治好人乳头瘤病毒（HPV）。,FALSE,人乳头瘤病毒（HPV）需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，人乳头瘤病毒（HPV）就彻底痊愈了。,FALSE,症状可能消失，但人乳头瘤病毒（HPV）仍可能潜伏在体内。,治疗
,感染人乳头瘤病毒（HPV）也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有人类免疫缺陷病毒（HIV）。,FALSE,很多感染人类免疫缺陷病毒（HIV）的人完全没有症状。,症状
,人类免疫缺陷病毒（HIV）总会引起疼痛或明显的溃疡。,FALSE,人类免疫缺陷病毒（HIV）有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有人类免疫缺陷病毒（HIV）。,FALSE,人类免疫缺陷病毒（HIV）即使没有明显症状也可能存在。,症状
,只有女性会出现人类免疫缺陷病毒（HIV）的症状。,FALSE,无论男女都可能感染人类免疫缺陷病毒（HIV），不论是否出现症状。,症状
,人类免疫缺陷病毒（HIV）的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的人类免疫缺陷病毒（HIV）仍可能存在并引发并发症。,症状
,人类免疫缺陷病毒（HIV）不会带来任何长期健康问题。,FALSE,人类免疫缺陷病毒（HIV）若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，人类免疫缺陷病毒（HIV）不会。,FALSE,包括人类免疫缺陷病毒（HIV）在内的许多性病都会影响男女的生育能力。,健康影响
,人类免疫缺陷病毒（HIV）会自己消失，不会造成伤害。,FALSE,未经治疗的人类免疫缺陷病毒（HIV）会持续存在并导致严重健康问题。,健康影响
,人类免疫缺陷病毒（HIV）只会影响私密部位。,FALSE,人类免疫缺陷病毒（HIV）不只影响生殖器，还会波及身体其他部位。,健康影响
,与人类免疫缺陷病毒（HIV）相关的健康问题只会发生在女性身上。,FALSE,人类免疫缺陷病毒（HIV）会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染人类免疫缺陷病毒（HIV）。,FALSE,人类免疫缺陷病毒（HIV）可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染人类免疫缺陷病毒（HIV）。,FALSE,人类免疫缺陷病毒（HIV）可通过多种性接触传播。,传播途径
,人类免疫缺陷病毒（HIV）可以通过马桶座传播。,FALSE,人类免疫缺陷病毒（HIV）不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防人类免疫缺陷病毒（HIV）。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染人类免疫缺陷病毒（HIV）。,FALSE,即使没有明显症状，也可能传播人类免疫缺陷病毒（HIV）。,传播途径
,事后清洗就能预防人类免疫缺陷病毒（HIV）。,FALSE,清洁并不能预防人类免疫缺陷病毒（HIV），关键是做好防护和检测。,预防
,口服避孕药能够预防人类免疫缺陷病毒（HIV）。,FALSE,避孕措施只能防怀孕，无法阻止人类免疫缺陷病毒（HIV）等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染人类免疫缺陷病毒（HIV）。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现人类免疫缺陷病毒（HIV），即使没有症状。,预防
,只有性伴侣多的人才需要担心人类免疫缺陷病毒（HIV）。,FALSE,只要有性行为，就可能感染人类免疫缺陷病毒（HIV），并非只有多性伴的人会得。,预防
,抗生素可以治愈包括人类免疫缺陷病毒（HIV）在内的所有性病。,FALSE,某些性病（如人类免疫缺陷病毒（HIV））是病毒感染，抗生素无法治愈。,治疗
,治疗过人类免疫缺陷病毒（HIV）之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染人类免疫缺陷病毒（HIV）。,治疗
,用偏方或草药就能治好人类免疫缺陷病毒（HIV）。,FALSE,人类免疫缺陷病毒（HIV）需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，人类免疫缺陷病毒（HIV）就彻底痊愈了。,FALSE,症状可能消失，但人类免疫缺陷病毒（HIV）仍可能潜伏在体内。,治疗
,感染人类免疫缺陷病毒（HIV）也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有梅毒。,FALSE,很多感染梅毒的人完全没有症状。,症状
,梅毒总会引起疼痛或明显的溃疡。,FALSE,梅毒有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有梅毒。,FALSE,梅毒即使没有明显症状也可能存在。,症状
,只有女性会出现梅毒的症状。,FALSE,无论男女都可能感染梅毒，不论是否出现症状。,症状
,梅毒的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的梅毒仍可能存在并引发并发症。,症状
,梅毒不会带来任何长期健康问题。,FALSE,梅毒若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，梅毒不会。,FALSE,包括梅毒在内的许多性病都会影响男女的生育能力。,健康影响
,梅毒会自己消失，不会造成伤害。,FALSE,未经治疗的梅毒会持续存在并导致严重健康问题。,健康影响
,梅毒只会影响私密部位。,FALSE,梅毒不只影响生殖器，还会波及身体其他部位。,健康影响
,与梅毒相关的健康问题只会发生在女性身上。,FALSE,梅毒会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染梅毒。,FALSE,梅毒可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染梅毒。,FALSE,梅毒可通过多种性接触传播。,传播途径
,梅毒可以通过马桶座传播。,FALSE,梅毒不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防梅毒。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染梅毒。,FALSE,即使没有明显症状，也可能传播梅毒。,传播途径
,事后清洗就能预防梅毒。,FALSE,清洁并不能预防梅毒，关键是做好防护和检测。,预防
,口服避孕药能够预防梅毒。,FALSE,避孕措施只能防怀孕，无法阻止梅毒等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染梅毒。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现梅毒，即使没有症状。,预防
,只有性伴侣多的人才需要担心梅毒。,FALSE,只要有性行为，就可能感染梅毒，并非只有多性伴的人会得。,预防
,抗生素可以治愈包括梅毒在内的所有性病。,FALSE,某些性病（如梅毒）是病毒感染，抗生素无法治愈。,治疗
,治疗过梅毒之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染梅毒。,治疗
,用偏方或草药就能治好梅毒。,FALSE,梅毒需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，梅毒就彻底痊愈了。,FALSE,症状可能消失，但梅毒仍可能潜伏在体内。,治疗
,感染梅毒也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有软下疳。,FALSE,很多感染软下疳的人完全没有症状。,症状
,软下疳总会引起疼痛或明显的溃疡。,FALSE,软下疳有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有软下疳。,FALSE,软下疳即使没有明显症状也可能存在。,症状
,只有女性会出现软下疳的症状。,FALSE,无论男女都可能感染软下疳，不论是否出现症状。,症状
,软下疳的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的软下疳仍可能存在并引发并发症。,症状
,软下疳不会带来任何长期健康问题。,FALSE,软下疳若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，软下疳不会。,FALSE,包括软下疳在内的许多性病都会影响男女的生育能力。,健康影响
,软下疳会自己消失，不会造成伤害。,FALSE,未经治疗的软下疳会持续存在并导致严重健康问题。,健康影响
,软下疳只会影响私密部位。,FALSE,软下疳不只影响生殖器，还会波及身体其他部位。,健康影响
,与软下疳相关的健康问题只会发生在女性身上。,FALSE,软下疳会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染软下疳。,FALSE,软下疳可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染软下疳。,FALSE,软下疳可通过多种性接触传播。,传播途径
,软下疳可以通过马桶座传播。,FALSE,软下疳不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防软下疳。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染软下疳。,FALSE,即使没有明显症状，也可能传播软下疳。,传播途径
,事后清洗就能预防软下疳。,FALSE,清洁并不能预防软下疳，关键是做好防护和检测。,预防
,口服避孕药能够预防软下疳。,FALSE,避孕措施只能防怀孕，无法阻止软下疳等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染软下疳。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现软下疳，即使没有症状。,预防
,只有性伴侣多的人才需要担心软下疳。,FALSE,只要有性行为，就可能感染软下疳，并非只有多性伴的人会得。,预防
,抗生素可以治愈包括软下疳在内的所有性病。,FALSE,某些性病（如软下疳）是病毒感染，抗生素无法治愈。,治疗
,治疗过软下疳之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染软下疳。,治疗
,用偏方或草药就能治好软下疳。,FALSE,软下疳需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，软下疳就彻底痊愈了。,FALSE,症状可能消失，但软下疳仍可能潜伏在体内。,治疗
,感染软下疳也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
,你总能看出自己是否患有艾滋病。,FALSE,很多感染艾滋病的人完全没有症状。,症状
,艾滋病总会引起疼痛或明显的溃疡。,FALSE,艾滋病有些病例没有症状，或症状十分轻微。,症状
,只要没有不适，就说明你没有艾滋病。,FALSE,艾滋病即使没有明显症状也可能存在。,症状
,只有女性会出现艾滋病的症状。,FALSE,无论男女都可能感染艾滋病，不论是否出现症状。,症状
,艾滋病的症状会自己消失，所以无需担心。,FALSE,即使症状减轻，未治疗的艾滋病仍可能存在并引发并发症。,症状
,艾滋病不会带来任何长期健康问题。,FALSE,艾滋病若不及时治疗，可能导致不孕或器官损伤等长期并发症。,健康影响
,只有像 HIV 那样严重的感染才会影响生育能力，艾滋病不会。,FALSE,包括艾滋病在内的许多性病都会影响男女的生育能力。,健康影响
,艾滋病会自己消失，不会造成伤害。,FALSE,未经治疗的艾滋病会持续存在并导致严重健康问题。,健康影响
,艾滋病只会影响私密部位。,FALSE,艾滋病不只影响生殖器，还会波及身体其他部位。,健康影响
,与艾滋病相关的健康问题只会发生在女性身上。,FALSE,艾滋病会对男女双方造成严重问题。,健康影响
,只有阴道性交才会感染艾滋病。,FALSE,艾滋病可通过阴道、口交或肛交传播。,传播途径
,口交或肛交不会感染艾滋病。,FALSE,艾滋病可通过多种性接触传播。,传播途径
,艾滋病可以通过马桶座传播。,FALSE,艾滋病不会通过马桶座或日常接触传播。,传播途径
,只要用一次安全套就能永远预防艾滋病。,FALSE,安全套能降低风险，但无法提供百分之百的防护。,传播途径
,只要伴侣看起来健康，就不会感染艾滋病。,FALSE,即使没有明显症状，也可能传播艾滋病。,传播途径
,事后清洗就能预防艾滋病。,FALSE,清洁并不能预防艾滋病，关键是做好防护和检测。,预防
,口服避孕药能够预防艾滋病。,FALSE,避孕措施只能防怀孕，无法阻止艾滋病等性病。,预防
,只有一个忠诚伴侣就能确保你不会感染艾滋病。,FALSE,即使只有一个伴侣，只要有人感染，性病风险依然存在。,预防
,感觉良好时就不必定期做性病检测。,FALSE,定期检测能及早发现艾滋病，即使没有症状。,预防
,只有性伴侣多的人才需要担心艾滋病。,FALSE,只要有性行为，就可能感染艾滋病，并非只有多性伴的人会得。,预防
,抗生素可以治愈包括艾滋病在内的所有性病。,FALSE,某些性病（如艾滋病）是病毒感染，抗生素无法治愈。,治疗
,治疗过艾滋病之后就不会再感染。,FALSE,即使接受治疗，也可能再次感染艾滋病。,治疗
,用偏方或草药就能治好艾滋病。,FALSE,艾滋病需要医学诊断和正规治疗，不能靠偏方。,治疗
,只要症状消失，艾滋病就彻底痊愈了。,FALSE,症状可能消失，但艾滋病仍可能潜伏在体内。,治疗
,感染艾滋病也没必要告诉伴侣。,FALSE,告知伴侣很重要，好让他们也能检测并接受治疗。,治疗
